Initial Measurement: 0.00,0.000,0.000

t,X,Y,status
0.00,0.000,0.000,0
4.06,0.000,0.000,0
8.81,0.000,0.000,0
14.05,0.000,0.000,0
18.80,0.000,0.000,0
24.04,0.000,0.000,0
28.81,0.000,0.000,0
34.00,0.000,0.000,0
38.79,0.000,0.000,0
44.09,0.000,0.000,0
48.87,0.000,0.000,0
54.07,0.000,0.000,0
58.86,0.000,0.000,0
64.06,0.000,0.000,0
68.84,0.000,0.000,0
74.03,0.000,0.000,0
78.80,0.000,0.000,0
84.10,0.000,0.000,0
88.88,0.000,0.000,0
94.08,0.000,0.000,0
98.87,0.000,0.000,0
104.06,0.000,0.000,0
108.85,0.000,0.000,0
114.04,0.000,0.000,0
118.82,0.000,0.000,0
124.02,0.000,0.000,0
128.81,0.000,0.000,0
134.00,0.000,0.000,0
138.79,0.000,0.000,0
144.09,0.000,0.000,0
148.88,0.000,0.000,0
154.08,0.000,0.000,0
158.87,0.000,0.000,0
164.06,0.000,0.000,0
