Initial Measurement: 0.00,0.562,0.000

t,X,Y,status
0.00,0.561,0.000,1
0.13,0.000,0.000,0
2.15,0.000,0.000,0
4.21,0.000,0.000,0
6.18,0.000,0.000,0
8.16,0.000,0.000,0
10.23,0.000,0.000,0
12.19,0.000,0.000,0
14.16,-0.000,0.000,0
16.24,-0.000,0.000,0
18.21,-0.000,0.000,0
20.16,-0.000,0.000,0
22.24,-0.000,0.000,0
24.21,-0.000,0.000,0
26.16,-0.000,0.000,0
28.24,-0.000,0.000,0
30.22,-33.706,-4.706,0
32.17,-33.706,-4.706,0
34.25,-33.706,-4.706,0
36.28,-11.703,-12.684,0
38.24,-11.703,-12.684,0
40.33,4.685,-2.188,0
42.28,4.685,-2.188,0
44.24,3.306,0.956,0
46.33,3.306,0.956,0
48.30,3.306,0.956,0
50.25,1.646,0.915,0
52.33,1.646,0.915,0
54.30,1.646,0.915,0
56.25,1.684,0.938,0
58.33,1.684,0.938,0
60.30,1.683,1.122,0
62.25,1.683,1.122,0
64.34,1.683,1.122,0
66.31,1.938,1.153,0
68.28,1.938,1.153,0
70.25,1.684,1.122,0
72.33,1.684,1.122,0
74.10,1.684,1.122,0
76.01,1.683,1.122,0
78.02,1.683,1.122,0
80.06,1.683,1.122,0
82.03,1.683,1.122,0
84.10,1.683,1.122,0
86.04,1.683,1.122,0
88.05,1.683,1.122,0
90.04,1.683,1.122,0
92.09,1.683,1.122,0
94.01,1.683,1.122,0
96.08,1.684,1.122,0
98.05,1.684,1.122,0
100.07,1.683,1.122,0
102.04,1.683,1.122,0
104.09,1.683,1.122,0
106.02,1.683,1.122,0
108.05,1.683,1.122,0
110.06,1.683,1.122,0
112.08,1.683,1.122,0
114.04,1.683,1.122,0
116.01,1.684,1.122,0
118.09,1.684,1.122,0
120.07,1.683,1.122,0
122.06,1.683,1.122,0
124.04,1.683,1.122,0
126.10,1.683,1.118,0
128.07,1.683,1.118,0
